T (K)		P (Pa)	vG (m3/kg)	vL (m3/kg)		hG (J/kg)		hL (J/kg)
298,15		20	948,16	0,00133		360020		0
303,15		20	624,78	0,00134		368310		10530
308,15		40	419,96	0,00134		376710		21200
313,15		50	287,56	0,00135		385240		32000
318,15		80	200,34	0,00135		393870		42930
323,15		110	141,84	0,00136		402620		54000
328,15		160	101,95	0,00137		411490		65190
333,15		220	74,32	0,00137		420460		76520
338,15		300	54,91	0,00138		429550		87990
343,15		410	41,069	0,00139		438750		99580
348,15		550	31,08	0,00139		448050		111300
353,15		720	23,781	0,0014		457460		123150
358,15		950	18,386	0,00141		466980		135120
363,15		1240	14,213	0,00142		476600		147220
368,15		1600	11,233	0,00142		486320		159450
373,15		2030	8,95	0,00143		496150		171810
378,15		2560	7,185	0,00144		506070		184290
383,15		3200	5,811	0,00145		516090		196890
388,15		3980	4,732	0,00146		526210		209610
393,15		4910	3,879	0,00147		536420		222460
398,15		6020	3,201	0,00148		546730		235420
403,15		7330	2,657	0,00148		557120		248500
408,15		8880	2,218	0,00149		567600		261700
413,15		10690	1,862	0,0015		578170		275020
418,15		12790	1,571	0,00151		588830		288450
423,15		15230	1,333	0,00152		599560		302000
428,15		18030	1,136	0,00153		610370		315660
433,15		21300	0,9727	0,00154		621270		329430
438,15		24900	0,8365	0,00155		632230		343310
443,15		29100	0,7224	0,00156		643280		357300
448,15		33800	0,6264	0,00158		654390		371410
453,15		39200	0,5452	0,00159		665570		385620
458,15		45100	0,4762	0,0016		676820		399940
463,15		51800	0,4174	0,00161		688130		414360
468,15		59300	0,3671	0,00162		699500		428890
473,15		67600	0,3239	0,00163		710940		443530
478,15		76800	0,2866	0,00165		722430		458270
483,15		87000	0,2543	0,00166		733970		473120
488,15		98200	0,2262	0,00167		745570		488070
493,15		110500	0,2018	0,00169		757210		503130
498,15		124000	0,1804	0,0017		768900		518290
503,15		138700	0,1617	0,00172		780640		533560
508,15		154800	0,1452	0,00173		792420		548930
513,15		172300	0,1307	0,00174		804230		564400
518,15		191300	0,1178	0,00176		816080		579980
523,15		211800	0,1064	0,00178		827960		595670
528,15		234100	0,0963	0,00179		839870		611460
533,15		258100	0,0873	0,00181		851810		627360
538,15		284000	0,0792	0,00183		863760		643370
543,15		311800	0,072	0,00185		875730		659480
548,15		341700	0,0655	0,00186		887710		675720
553,15		373800	0,0596	0,00188		899700		692060
558,15		408100	0,0544	0,0019		911680		708520
563,15		444900	0,0496	0,00193		923660		725100
568,15		484100	0,0453	0,00195		935630		741800
573,15		526000	0,0414	0,00197		947570		758630
578,15		570700	0,0378	0,002		959490		775590
583,15		618200	0,0345	0,00202		971360		792690
588,15		668900	0,0316	0,00205		983180		809930
593,15		722700	0,0288	0,00208		994930		827310
598,15		779900	0,0263	0,00211		1006590		844860
603,15		840700	0,024	0,00214		1018140		862580
608,15		905200	0,0219	0,00218		1029560		880480
613,15		973600	0,0199	0,00221		1040820		898580
618,15		1046200	0,0181	0,00225		1051860		916900
623,15		1123300	0,0164	0,00229		1062630		935480
628,15		1205100	0,0148	0,00233		1073050		954350
633,15		1291900	0,0132	0,00236		1083000		973570
638,15		1384000	0,0118	0,00242		1092300		993230
643,15		1482000	0,0103	0,0025		1100600		1013500
648,15		1586100	0,0089	0,00259		1107300		1034500
649,15		1607700	0,0086	0,00261		1108300		1038900
650,15		1629600	0,0083	0,00268		1109200		1043300
651,15		1651700	0,008	0,0027		1109900		1047800
652,15		1674200	0,0076	0,0028		1110300		1052300
653,15		1697000	0,0073	0,0029		1110500		1057000
654,15		1720000	0,0069	0,0029		1110300		1061800
655,15		1743400	0,0065	0,003		1109500		1066800
656,15		1767000	0,0061	0,0032		1107700		1072000
657,15		1790900	0,0055	0,0034		1104100		1077600
658,15		1815200	0,0046	0,0041		1093500		1086700
658,25		1816400	0,0044	0,0044		1092500		1092500
From thesis Adiabatic evaporation waves Jose Roberto Simoes Moreira
